index,name,side,body_part,type,hasLimits,lower,upper,driveMode,maxVelocity,maxEffort,stiffness,damping,position,velocity
0,left_hip_pitch_joint,left,leg,0,True,-2.5307,2.8798,1,20.0000,139.0000,1423.5095,0.5694,0.2117,-0.5564
1,right_hip_pitch_joint,right,leg,0,True,-2.5307,2.8798,1,20.0000,139.0000,1423.5098,0.5694,3.8549,16.8662
2,waist_yaw_joint,center,torso,0,True,-2.6180,2.6180,1,32.0000,88.0000,1589.8939,0.6360,-0.0000,-0.0009
3,left_hip_roll_joint,left,leg,0,True,-0.5236,2.9671,1,20.0000,139.0000,3560.4360,1.4242,-2.8889,8.1896
4,right_hip_roll_joint,right,leg,0,True,-2.9671,0.5236,1,20.0000,139.0000,3560.4370,1.4242,0.1325,6.8214
5,waist_roll_joint,center,torso,0,True,-0.5200,0.5200,1,30.0000,35.0000,3099.6729,1.2399,-0.0000,0.0004
6,left_hip_yaw_joint,left,leg,0,True,-2.7576,2.7576,1,32.0000,88.0000,8621.6934,3.4487,1.3358,0.3771
7,right_hip_yaw_joint,right,leg,0,True,-2.7576,2.7576,1,32.0000,88.0000,8621.6611,3.4487,2.7633,5.7284
8,waist_pitch_joint,center,torso,0,True,-0.5200,0.5200,1,30.0000,35.0000,3039.6777,1.2159,0.0032,-0.0709
9,left_knee_joint,left,leg,0,True,-0.0873,2.8798,1,20.0000,139.0000,13183.1836,5.2733,-4.0497,2.0039
10,right_knee_joint,right,leg,0,True,-0.0873,2.8798,1,20.0000,139.0000,13182.6729,5.2731,-3.5901,6.9150
11,left_shoulder_pitch_joint,left,arm,0,True,-3.0892,2.6704,1,37.0000,25.0000,8584.7002,3.4339,0.0002,-0.1186
12,right_shoulder_pitch_joint,right,arm,0,True,-3.0892,2.6704,1,37.0000,25.0000,8584.5977,3.4338,0.0002,-0.1203
13,left_ankle_pitch_joint,left,leg,0,True,-0.8727,0.5236,1,30.0000,35.0000,3720.6035,1.4882,3.6222,-12.8286
14,right_ankle_pitch_joint,right,leg,0,True,-0.8727,0.5236,1,30.0000,35.0000,3720.6035,1.4882,1.0427,32.9391
15,left_shoulder_roll_joint,left,arm,0,True,-1.5882,2.2515,1,37.0000,25.0000,7105.5864,2.8422,0.0000,0.0166
16,right_shoulder_roll_joint,right,arm,0,True,-2.2515,1.5882,1,37.0000,25.0000,7105.3506,2.8421,-0.0000,-0.0172
